Sl. No.,State/UT,2018-19,2019-20,2020-21,2021-22,2022-23
1,Andhra Pradesh,66314.00,46222.00,39626.45,36620.10,64339.41
2,Andaman and Nicobar Island,1850.00,387.00,492.34,688.03,744.00
3,Arunachal Pradesh,3787.37,2721.00,3755.90,1693.65,1113.20
4,Assam,32277.87,24971.00,58765.00,38388.50,30450.00
5,Bihar,68903.33,41365.00,74263.69,53232.34,63361.56
6,Chandigarh,11715.40,6746.00,13107.15,13107.15,12761.66
7,Chhattisgarh,6000.00,32850.00,47450.00,51100.00,21170.00
8,Daman,1947.70,1948.00,4726.00,3954.82,14227.33
9,Delhi,224810.00,230525.00,345000.00,377596.00,403347.22
10,Goa,32580.52,26068.00,29441.00,29440.90,29440.90
11,Gujarat,356873.00,408201.00,337693.96,313918.57,271574.60
12,Haryana,68735.26,147734.00,185168.00,179406.47,129866.74
13,Himachal Pradesh,3672.00,13683.00,6206.78,9654.45,14093.57
14,Jammu and Kashmir,34367.37,74826.33,51710.60,34384.00,30342.00
15,Jharkhand,51454.53,43332.00,20263.45,53432.97,71433.99
16,Kerala,133316.00,131400.00,120063.87,71000.00,71000.00
17,Karnataka,272776.00,296380.00,368080.00,528031.00,360780.60
18,Ladakh,NA,NA,NA,1915.05,860.50
19,Lakshadweep,148.00,46.00,523.54,279.09,1358.00
20,Madhya Pradesh,72327.39,121079.00,138483.58,132955.40,182613.50
21,Maharashtra,409630.00,443724.00,311254.00,292987.00,395759.00
22,Manipur,12453.80,8293.00,10303.00,12500.00,12702.00
23,Meghalaya,1263.00,5043.00,191.00,NA,2223.60
24,Mizoram,13.31,7909.00,1514.51,2634.79,4835.21
25,Nagaland,268.18,565.00,4785.94,92.84,342.89
26,Odisha,90138.98,45339.40,51269.90,40696.43,53795.34
27,Punjab,119414.64,92890.00,108332.06,94958.95,128744.64
28,Pondicherry,8433.00,11753.00,12754.00,12775.00,31087.00
29,Rajasthan,104704.38,51966.00,66324.57,72044.77,83242.74
30,Sikkim,5.66,69.00,82.75,104.74,84.64
31,Tamil Nadu,401091.00,431472.00,430107.00,397387.68,782560.00
32,Telangana,183014.65,233655.00,472675.00,494940.00,528520.00
33,Tripura,26.20,32.00,61.65,169.63,347.29
34,Uttarakhand,31093.00,25203.00,18647.75,44924.71,42276.70
35,Uttar Pradesh,254401.80,161148.00,375950.00,375950.00,NA
36,West Bengal,300236.12,300236.00,417925.00,128837.03,294789.00
Total,Total,3360043.45,3469781.73,4126808.44,3901802.06,4136188.83
